topic_name,category_name,bundle_id,year,company,industry,country
Safe work environment,Occupational health and safety,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Health,Other,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Human rights,"Human rights, child labor, forced or compulsory labor",26550,2022,Natra SA,Processed Foods,Spain
Supplier Social Assessment,Supply chain and procurement practices,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Governance performance,Corporate governance,31788,2022,Glanbia plc,Processed Foods,Ireland
Animal welfare,Animal welfare & testing,31788,2022,Glanbia plc,Processed Foods,Ireland
Environmental protection,Environmental management,33832,2023,AGV PRODUCTS CORP.,Processed Foods,Taiwan
International financial risk management,Risk management,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
"Water, waste and effluents",Water management,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Indirect Economic Impacts,Economic performance,19782,2020,Kellogg Company,Processed Foods,United States
Sustainable supply chain management,Supply chain and procurement practices,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Employment,Employee attraction and retention,19782,2020,Kellogg Company,Processed Foods,United States
market transparency,Other,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Fair Wages and Benefits,Employee attraction and retention,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Resource Management,Environmental management,46693,2023,QAF Ltd,Processed Foods,Singapore
Deforestation,Biodiversity,29069,2020,Hershey Co,Processed Foods,United States
Labour supply chain,Supply chain and procurement practices,44869,2021,JC Comsa Corp,Processed Foods,Japan
Climate change adaptation,Risk management,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Climate change,Climate change and GHG emissions,29069,2020,Hershey Co,Processed Foods,United States
Sustainability,Economic performance,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Responsible management practices,Other,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Human Capital Development,"Training, education and development",38280,2024,Britannia Industries Ltd,Processed Foods,India
Energy and GHG Emissions,Climate change and GHG emissions,43212,2022,Del Monte Pacific Ltd,Processed Foods,Philippines
Market Presence,Economic performance,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Supply Chain Human Rights,"Human rights, child labor, forced or compulsory labor",38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Ethical business,Corporate governance,38273,2021,Barilla,Processed Foods,Italy
Reduce GHG emissions,Climate change and GHG emissions,26550,2022,Natra SA,Processed Foods,Spain
Ingredient Sourcing,Supply chain and procurement practices,37973,2021,SunOpta Inc,Processed Foods,Canada
Social innovation projects,Innovation and R&D,54789,2022,SOVENA,Processed Foods,Portugal
Support to communities,Local communities and rights of indigenous peoples,38273,2021,Barilla,Processed Foods,Italy
Talent attraction,Employee attraction and retention,35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Supply Chain Management,Supply chain and procurement practices,37973,2021,SunOpta Inc,Processed Foods,Canada
Data Privacy,Data security and customer privacy,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Packaging material and waste management,Material use and circular economy,25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
Executive pay and shareholders’ dividends,Corporate governance,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Statutory compliance,Compliance with laws and regulations,38280,2024,Britannia Industries Ltd,Processed Foods,India
quality of life,Other,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Occupational health and safety,Occupational health and safety,54401,2021,PT. WILTON MAKMUR INDONESIA Tbk.,Processed Foods,Indonesia
Responsible Recruitment,Employee attraction and retention,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Health,Other,54789,2022,SOVENA,Processed Foods,Portugal
Anti-corruption,Anti-corruption,30725,2022,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
Impact on climate change,Climate change and GHG emissions,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Inclusion,"Diversity, equal opportunity and non-discrimination",40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Career Development,"Training, education and development",26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Sustainable Agriculture,Environmental management,22680,2019,Ebro Foods SA,Processed Foods,Spain
Indirect Economic Impacts,Economic performance,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Employee Recruitment,Employee attraction and retention,37973,2021,SunOpta Inc,Processed Foods,Canada
"Diversity, equity and inclusion","Diversity, equal opportunity and non-discrimination",31814,2023,Nomad Foods Limited,Processed Foods,United Kingdom
Corporate Behavior,Corporate governance,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
discrimination and harassment,"Diversity, equal opportunity and non-discrimination",28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Emissions,Climate change and GHG emissions,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Transparency,Corporate governance,22680,2019,Ebro Foods SA,Processed Foods,Spain
Climate Change Actions,Climate change and GHG emissions,59259,2024,Denis Asia Pacific Pte Ltd,Processed Foods,Singapore
Environmental Compliance,Compliance with laws and regulations,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Financial performance,Economic performance,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
development of employees,"Training, education and development",54789,2022,SOVENA,Processed Foods,Portugal
Energy management,Energy,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Stakeholder engagement,Corporate governance,45919,2023,NASCON Allied Industries PLC,Processed Foods,Nigeria
Sustainable logistics,Risk management,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Environmental compliance,Compliance with laws and regulations,30725,2022,Zhongxin Fruit and Juice Ltd,Processed Foods,Singapore
efficient use of water,Water management,54789,2022,SOVENA,Processed Foods,Portugal
Water Conservation,Water management,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Data Protection,Data security and customer privacy,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Anti-corruption,Anti-corruption,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Non-discrimination,"Diversity, equal opportunity and non-discrimination",26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Supply Chain Management,Supply chain and procurement practices,23555,2023,Delfi Ltd,Processed Foods,Singapore
Environmental impact mitigation,Environmental management,43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
Modern Slavery,"Human rights, child labor, forced or compulsory labor",38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Work against corruption,Anti-corruption,26550,2022,Natra SA,Processed Foods,Spain
Energy Conservation and GHG Emissions Reduction,Energy,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Product Innovation,Innovation and R&D,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Human rights training,"Training, education and development",56269,2023,Danone,Processed Foods,France
Ethical and Fair Business Practices,Corporate governance,46693,2023,QAF Ltd,Processed Foods,Singapore
Responsible Supply Chain,Supply chain and procurement practices,38280,2024,Britannia Industries Ltd,Processed Foods,India
Supply Chain Human Rights,Supply chain and procurement practices,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Responsible procurement fibres,Material use and circular economy,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Customer Health and Safety,Customer health and safety,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Environmental Management,Environmental management,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
Talent Retention,Employee attraction and retention,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Labor/Management Relations,Freedom of association and collective bargaining,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Increase equality/diversity,"Diversity, equal opportunity and non-discrimination",26550,2022,Natra SA,Processed Foods,Spain
Supply Chain Human Rights,Supply chain and procurement practices,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Impact of Packaging,Material use and circular economy,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
CO2 Emissions,Climate change and GHG emissions,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Diversity and equal opportunities,"Diversity, equal opportunity and non-discrimination",33032,2022,Austevoll Seafood ASA,Processed Foods,Norway
Supplier Environmental Assessment,Supply chain and procurement practices,19782,2020,Kellogg Company,Processed Foods,United States
Customer Health and Safety,Customer health and safety,39241,2024,Hosen Group Ltd,Processed Foods,Singapore
Energy efficiency,Energy,31067,2021,"Bimbo Bakeries USA, Inc.",Processed Foods,United States
Working hours,Employee attraction and retention,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
Making investment in eco-friendly facilities,Economic performance,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Engagement Development Retention,Employee attraction and retention,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Climate change,Climate change and GHG emissions,26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
social and environmental sustainability,Other,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Workplace diversity,"Diversity, equal opportunity and non-discrimination",35166,2023,Vitasoy International Singapore Pte Ltd.,Processed Foods,Singapore
Abolition of child labour,"Human rights, child labor, forced or compulsory labor",26550,2022,Natra SA,Processed Foods,Spain
Transparent financial disclosure,Corporate governance,40143,2021,Saudia Dairy and Foodstuff Company,Processed Foods,Saudi Arabia
Healthy and Safety at Work,Occupational health and safety,22680,2019,Ebro Foods SA,Processed Foods,Spain
Equal opportunity hiring,"Diversity, equal opportunity and non-discrimination",43432,2022,Edita Food Industries SAE,Processed Foods,"Egypt, Arab Rep."
equal opportunities,"Diversity, equal opportunity and non-discrimination",29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Customer satisfaction,Customer experience and engagement,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Forced and compulsory labour,"Human rights, child labor, forced or compulsory labor",26550,2022,Natra SA,Processed Foods,Spain
Diversity and gender equality,"Diversity, equal opportunity and non-discrimination",25466,2021,Hunya Foods Co Ltd,Processed Foods,Taiwan
nutritional profile,Product quality and safety,56269,2023,Danone,Processed Foods,France
Working hours compliance,Compliance with laws and regulations,27777,2023,Unicharm Petcare Corp,Processed Foods,Japan
Sustainability and Innovation,Innovation and R&D,38422,2024,Bakkavor Group Plc,Processed Foods,United Kingdom
Labor,"Human rights, child labor, forced or compulsory labor",28077,2019,Molson Coors Beverage Company,Processed Foods,United States
No Deforestation,Biodiversity,38280,2024,Britannia Industries Ltd,Processed Foods,India
Business Ethics,Corporate governance,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Working conditions safe,Occupational health and safety,38421,2022,Bakkavor Group Plc,Processed Foods,United Kingdom
financial stability and sustainability,Economic performance,29635,2019,Inarktika PAO,Processed Foods,Russian Federation
Empowering People,Other,20661,2022,"Post Holdings, Inc.",Processed Foods,United States
Improving organizational culture,Corporate governance,28923,2022,Lotte Wellfood Co Ltd,Processed Foods,"Korea, Rep."
Energy Management,Energy,38280,2024,Britannia Industries Ltd,Processed Foods,India
environmental management,Environmental management,22680,2019,Ebro Foods SA,Processed Foods,Spain
nutrition and health,Other,22680,2019,Ebro Foods SA,Processed Foods,Spain
Supplier Environmental Assessment,Supply chain and procurement practices,25957,2022,Jaya Swarasa Agung TBK PT,Processed Foods,Indonesia
Circular Economy,Material use and circular economy,28535,2022,GEA Group Aktiengesellschaft,Processed Foods,Germany
Security Practices,Data security and customer privacy,26522,2021,Brake Bros Ltd,Processed Foods,United Kingdom
Diversity and Equal Opportunity,"Diversity, equal opportunity and non-discrimination",19782,2020,Kellogg Company,Processed Foods,United States
Empowerment of women,"Diversity, equal opportunity and non-discrimination",26445,2020,Kerevitas Gida Sanayi ve Ticaret AS,Processed Foods,Turkiye
